

#=======================WEapons
	
outfit "Klingar Laser" #E10-B 
	"mass" 120
	"outfit space" -120
	"weapon capacity" -120
	"turret mounts" -1
	"required crew" 2
	weapon
		sprite "projectile/marley"
		sound "gw energy2"
		"hit effect" "ion impact"
		"hardpoint sprite" "hardpoint/heavy anti-missile"
		"hardpoint offset" 5.
		"inaccuracy" 1.28
		"turret turn" 1.4
		"velocity" 20
		"lifetime" 30
		"reload" 22
		"firing energy" 180
		"firing heat" 80
		"shield damage" 900
		"hull damage" 300
		"piercing" .3
		"hit force" 10
	description "Wallagi turret"
	
outfit "Markla Turret" #S20-F 
	category "Turrets"
	cost 4900000
	thumbnail "outfit/wallagi lemtar turret"
	"mass" 45
	"outfit space" -45
	"weapon capacity" -45
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/tiny dual ion"
		sound "gw energy3"
		"hit effect" "plasma explosion"
		"inaccuracy" 2
		"turret turn" 3
		"velocity" 30
		"lifetime" 23
		"reload" 6
		"firing energy" 45
		"firing heat" 12
		"shield damage" 20
		"hull damage" 6
		"ion damage" .6
		"submunition" "markla flak" 3
		"split range" 8
	description "Wallagi flak turret"
	
outfit "markla flak"
	weapon
		sprite "effect/huge spark"
			"no repeat"
			"frame rate" 16
		sound "ion impact"
		"blast radius" 12
		"safe"
		"lifetime" 9
		"inaccuracy" 360
		"random velocity" .1
		"velocity" -.05
		"hit force" 5
		"shield damage" 22
		"hull damage" 12
		"ion damage" .2
		
effect "markla flak"
	sprite "effect/huge spark"
		"no repeat"
		"frame rate" 20
	"lifetime" 21
	"random angle" 360
	"random velocity" .1
	"random spin" 4
	"velocity scale" -.05

outfit "Sikarl Mine"
	category "Ammo"
	cost 25000
	thumbnail "outfit/wallagi sikarl ammo"
	"sikarl mine capacity" -1
	"mass" .1
	description "Ammo for Sikarl Mine launcher"

outfit "Sikarl Mine Launcher"
	category "Secondary Weapons"
	cost 4700000
	thumbnail "outfit/wallagi sikarl launcher"
	mass 14
	"outfit space" -21
	"weapon capacity" -21
	"turret mounts" -1
	"sikarl mine capacity" 20
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 10
			"start frame" 0
			"no repeat"
		"hardpoint sprite" "hardpoint/wallagi sikarl launcher hp"
		sound "gw edistort4"
		ammo "Sikarl Mine" 1
		"turret turn" 180
		icon "icon/sikarl"
		"hit effect" "small explosion"
		submunition "sikarl field 1"
		submunition "sikarl 1"
		"inaccuracy" .1
		"range override" 1200
		"split range" 480
		"velocity" 100
		"lifetime" 400
		"drag" .8
		"acceleration" 1
		"turn" 4
		"homing" 2
		"radar tracking" .9
		"reload" 180
		"firing energy" 60
		"firing heat" 3
		"shield damage" 120
		"hull damage" 85
		"phasing"
	description "Sigarl mine used by Wallgi, shielded and cloaks and will activate when target enters the area."

outfit "sikarl 1"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 2
		submunition "sikarl field 2"
		submunition "sikarl 2"
		"hit effect" "small explosion"
		"split range" 425
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9

outfit "sikarl field 1"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 2"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 1
		submunition "sikarl field 3"
		submunition "sikarl 3"
		"hit effect" "small explosion"
		"split range" 425
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9

outfit "sikarl field 2"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 3"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		submunition "sikarl field 4"
		submunition "sikarl 4"
		"hit effect" "small explosion"
		"split range" 425
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9

outfit "sikarl field 3"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 4"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		submunition "sikarl field 5"
		submunition "sikarl 5"
		"hit effect" "small explosion"
		"split range" 425
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9
		"missile strength" 500

outfit "sikarl field 4"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 5"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		submunition "sikarl field 6"
		submunition "sikarl 6"
		"hit effect" "small explosion"
		"split range" 500
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9
		"missile strength" 600

outfit "sikarl field 5"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 6"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		submunition "sikarl field 7"
		submunition "sikarl 7"
		"hit effect" "small explosion"
		"split range" 500
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9
		"missile strength" 800

outfit "sikarl field 6"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 7"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		submunition "sikarl field 8"
		submunition "sikarl 8"
		"hit effect" "small explosion"
		"split range" 500
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9
		"missile strength" 1000

outfit "sikarl field 7"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 8"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		submunition "sikarl field 9"
		submunition "sikarl 9"
		"hit effect" "small explosion"
		"split range" 500
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9
		"missile strength" 1000

outfit "sikarl field 8"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 9"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		submunition "sikarl field 10"
		submunition "sikarl 10"
		"hit effect" "small explosion"
		"split range" 500
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9
		"missile strength" 1000

outfit "sikarl field 9"
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

outfit "sikarl 10"
	weapon
		sprite "projectile/sikarl mine"
			"frame rate" 0
			"start frame" 0
		"hit effect" "small explosion"
		"split range" 425
		"lifetime" 1
		"drag" .13
		"turn" 80
		"homing" 2
		"radar tracking" .9
		"missile strength" 1000

outfit "sikarl field 10" #Initially I want it to last 20 frames but this is getting tedious... I'll just double the damages
	weapon
		sprite "projectile/sikarl field"
			"random start frame"
		"lifetime" 1
		"velocity" 1
		"trigger radius" 425
		"blast radius" 500
		"safe"
		"shield damage" 400
		"hull damage" 100
		"ion damage" 20
		"disruption damage" 20

#================================================Anti- missile
	
outfit "Cilhr Anti-missile" #sach #Primary AM
	category "Turrets"
	cost 2800000
	thumbnail "outfit/heavy anti-missile"
	"mass" 12
	"outfit space" -12
	"weapon capacity" -12
	"turret mounts" -1
	weapon
		"fire effect" "wallagi am fire"
		sound "gw energy1"
		"anti-missile" 60
		"turret turn" 14
		"velocity" 200
		"lifetime" 1
		"reload" 3
		"firing energy" 1
		"firing heat" 1
	description "Wallagi primary anti missile"
	
outfit "Eilgur Anti-missile" #For later use
	category "Turrets"
	cost 5400000
	thumbnail "outfit/heavy anti-missile"
	"mass" 21
	"outfit space" -21
	"weapon capacity" -21
	"turret mounts" -1
	weapon
		"fire effect" "wallagi am fire"
		sound "gw energy1"
		"anti-missile" 90
		"turret turn" 14
		"velocity" 200
		"lifetime" 1
		"reload" 12
		"firing energy" 5
		"firing heat" 5
	description "Wallagi improved anti missile."
	
outfit "Jestar Anti-missile"
	category "Turrets"
	cost 12000000
	thumbnail "outfit/heavy anti-missile"
	"mass" 80
	"outfit space" -80
	"weapon capacity" -80
	"turret mounts" -1
	weapon
		"fire effect" "wallagi am fire"
		sound "gw energy2"
		"anti-missile" 125
		"turret turn" 18
		"velocity" 400
		"lifetime" 1
		"reload" 7.5
		"firing energy" 8
		"firing heat" 8
	description "Wallagi large anti missile."
	
outfit "Kemper Missile Defense"
	category "Turrets"
	cost 15000000
	thumbnail "outfit/unknown"
	"mass" 88
	"outfit space" -88
	"weapon capacity" -88
	"turret mounts" -1
	weapon
		sound "minelayer"
		"die effect" "walagi kemper hit"
		"anti-missile" 100
		"turret turn" 20
		"velocity" 1100
		"lifetime" 1
		"reload" 1
		"firing energy" 12
		"firing heat" 12
	description "Wallagi long range anti missile system."
	
effect "wallagi am fire"
	sprite "effect/donko mes fire"
		"frame rate" 20
		"no repeat"
	lifetime 8

effect "walagi kemper hit"
	sprite "effect/vokka impact"
		"frame rate" 30
		"no repeat"
	lifetime 5

#===========================================================Systems

outfit "Ulyukar Heat Control"
	category "Systems"
	cost 3600000
	thumbnail "outfit/unknown"
	mass 15
	"outfit space" -15
	"cooling" 12
	"active cooling" 10
	"cooling energy" 8
	"heat protection" .1
	"description" "Wallagi small heat controlling system. Aside from ability to increase cooling as it gets hotter, it also provides some protection against external heat sources from enemy fire."

outfit "Asenil Shield Generator" #Wasen
	category "Systems"
	cost 5000000
	thumbnail "outfit/wallagi shield"
	"mass" 11
	"outfit space" -11
	"shield generation" 1.7
	"shield energy" 3
	description "Wallagi tiny shield generator for fighters."
	
outfit "Filkei Shield Generator"
	category "Systems"
	cost 11000000
	thumbnail "outfit/wallagi shield"
	"mass" 24
	"outfit space" -24
	"shield generation" 2.8
	"shield energy" 5.2
	description "Wallagi small shield generator."
	
outfit "Lestur Shield Generator"
	category "Systems"
	cost 35000000
	thumbnail "outfit/wallagi shield"
	"mass" 56
	"outfit space" -56
	"shield generation" 5.4
	"shield energy" 10
	description "Wallagi medium shield generator."
	
outfit "Sestar Shield Generator"
	category "Systems"
	cost 50000000
	thumbnail "outfit/wallagi shield"
	"mass" 104
	"outfit space" -104
	"shield generation" 10.1
	"shield energy" 19.7
	description "Wallagi large shield generator."
	
outfit "Tensel Shield Generator"
	category "Systems"
	cost 57000000
	thumbnail "outfit/wallagi shield"
	"mass" 130
	"outfit space" -130
	"shield generation" 15.2
	"shield energy" 28.4
	description "Wallagi huge shield generator."
	
outfit "Yalgos Shield Generator" #Malgos
	category "Systems"
	cost 64000000
	thumbnail "outfit/wallagi shield"
	"mass" 220
	"outfit space" -220
	"shield generation" 29.4
	"shield energy" 51.4
	description "Wallagi massive shield generator found only on the biggest ships."
	
#=========================================================Power

outfit "C10-W Hinlar Core"
	category "Power"
	cost 1000000
	thumbnail "outfit/unknown"
	mass 9
	"outfit space" -10
	"energy generation" 3.1
	"heat generation" .3
	"ion resistance" .1
	"ion resistance energy" -.1
	"ion resistance heat" 2
	"energy capacity" 2000
	description "Tiny Wallagi generator."
	
outfit "C20-W Jelosr Core"
	category "Power"
	cost 4000000
	thumbnail "outfit/unknown"
	mass 20
	"outfit space" -22
	"energy generation" 6.9
	"heat generation" .6
	"ion resistance" .2
	"ion resistance energy" -.21
	"ion resistance heat" 4
	"energy capacity" 4100
	description "Small Wallagi generator."

outfit "C30-W Laimos Core"
	category "Power"
	cost 10000000
	thumbnail "outfit/unknown"
	mass 43
	"outfit space" -46
	"energy generation" 14.5
	"heat generation" 1.2
	"ion resistance" .4
	"ion resistance energy" -.45
	"ion resistance heat" 8
	"energy capacity" 8500
	description "Medium Wallagi generator."

outfit "C40-W Milar Core"
	category "Power"
	cost 5000000
	thumbnail "outfit/unknown"
	"mass" 72
	"outfit space" -76
	"energy generation" 23.5
	"heat generation" 9
	"ion resistance" 1
	"ion resistance energy" -1
	"ion resistance heat" 16
	"energy capacity" 14800
	description "Large Wallagi generator."
	
outfit "C60-W Falmin Core"
	category "Power"
	cost 42000000
	thumbnail "outfit/unknown"
	"mass" 146
	"outfit space" -152
	"energy generation" 47
	"heat generation" 12
	"ion resistance" 2.1
	"ion resistance energy" -2.1
	"ion resistance heat" 23
	"energy capacity" 30000
	description "Huge Wallagi generator."
	
outfit "C80-W Mallar Core"
	category "Power"
	cost 95000000
	thumbnail "outfit/unknown"
	"mass" 202
	"outfit space" -223
	"energy generation" 70
	"heat generation" 14
	"ion resistance" 4.3
	"ion resistance energy" -4.3
	"ion resistance heat" 42
	"energy capacity" 44000
	description "Massive Wallagi generator."
	
#==================================================Engines

outfit "Kal-1 Engines"
	category "Engines"
	"cost" 3500000
	thumbnail "outfit/unknown"
	"mass" 20
	"outfit space" -20
	"engine capacity" -20
	"thrust" 24
	"thrusting energy" 2.2
	"thrusting heat" 2.9
	"turn" 650
	"turning energy" .75
	"turning heat" 1.45
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/tiny"
	description "Wallagi tiny engine"
	
outfit "Kal-4 Engines"
	category "Engines"
	"cost" 6300000
	thumbnail "outfit/unknown"
	"mass" 50
	"outfit space" -50
	"engine capacity" -50
	"thrust" 51
	"thrusting energy" 3
	"thrusting heat" 4.2
	"turn" 980
	"turning energy" .85
	"turning heat" 1.6
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/medium"
	description "Wallagi medium engine"
	
outfit "Kal-8 Engines"
	category "Engines"
	"cost" 14200000
	thumbnail "outfit/unknown"
	"mass" 80
	"outfit space" -80
	"engine capacity" -80
	"thrust" 87
	"thrusting energy" 5
	"thrusting heat" 7
	"turn" 1420
	"turning energy" 1.23
	"turning heat" 2.31
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/large"
	description "Wallagi large engine"
	
outfit "Kal-10 Engines"
	category "Engines"
	"cost" 32300000
	thumbnail "outfit/unknown"
	"mass" 120
	"outfit space" -120
	"engine capacity" -120
	"thrust" 178
	"thrusting energy" 10.68
	"thrusting heat" 14.41
	"turn" 2315
	"turning energy" 2.07
	"turning heat" 3.726
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/huge"
	description "Wallagi huge engine"

