
# Thrusters
outfit "Asutur Thruster" #Masta
		"firing heat" 19
	description "Northen Qoro's Missile Defence module"

outfit "Masai-mei Missile Defence (locked)"
	category "Turrets"
	cost 845000
	thumbnail "outfit/medium shield"
	"mass" 28
	"outfit space" -28
	"weapon capacity" -28
	"energy capacity" 50
	"turret mounts" -1
	"mdf lock" 1
	weapon
		"fire effect" "masai fire"
		"anti-missile" 5
		"turret turn" 20
		"velocity" 330
		"lifetime" 1
		"reload" 1.3
		"firing energy" 14.5
		"firing heat" 19
	description "Northen Qoro's Missile Defence module(locked version)"
	
effect "masai fire"
	sprite "effect/huge spark"
		"no repeat"
		"frame rate" 30
	sound "ion impact"
	"lifetime" 9
	"random angle" 360
	"velocity scale" -.05
	"random spin" 30
	"random velocity" 2
	
outfit "Masenar Turret"
	category "Turrets"
	cost 460000
	thumbnail "outfit/qoro m masenar turret"
	mass 43
	"outfit space" -43
	"weapon capacity" -43
	"turret mounts" -1
	"required crew" 2
	weapon
		sprite "projectile/masenar"
			"frame rate" 30
			"start frame" 1
		"hardpoint sprite" "hardpoint/masenar turret hp"
		"sound" "ion"
		"fire effect" "masenar fire"
		"hit effect" "masenar impact"
		"inaccuracy" 30
		"turret turn" 5
		"velocity" 12
		"lifetime" 48
		"reload" 6
		"burst reload" 1.5
		"burst count" 6
		"homing" 1
		"optical tracking" .2
		"turn" .1
		"firing energy" 30
		"firing heat" 4
		"shield damage" 15
		"hull damage" 60
		"stream"
		"piercing" .2
	description "This is a northern Qoro anti-fighter turret, due to how it works, most of its core mechanism is hidden inside the ship allowing the turret can turn very fast. Though, due to the being a relativly new technology it suffered heavily from inaccuracy." 
		
effect "masenar fire"
	sprite "effect/masenar fire"
		"no repeat"
		"frame rate" 60
	"lifetime" 3
	"velocity scale" -.01
	
effect "masenar impact"
	sprite "effect/masenar fire"
		"no repeat"
		"frame rate" 30
	sound "ion impact"
	"lifetime" 9
	"random angle" 360
	"velocity scale" -.05
	"random spin" 30
	"random velocity" 2

outfit "Masini-Senmari Turret"
	category "Turrets"
	cost 460000
	thumbnail "outfit/qoro m masenar turret"
	mass 41
	"outfit space" -41
	"weapon capacity" -41
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/masenar"
			"frame rate" 0
			"start frame" 0
		sound "ion"
		"hit effect" "masenar impact"
		"live effect" "masini live" 20
		"inaccuracy" .5
		"turret turn" 2.4
		"velocity" 22
		"lifetime" 34
		"reload" 20
		"burst reload" 8
		"burst count" 3
		"firing energy" 22
		"firing heat" 12
		"shield damage" 160
		"hull damage" 68
		"energy damage" 40
		"piercing" .1
		"stream"
	description "Medium-sized Makau Qoro anti-ship turret"

effect "masini live"
	sprite "projectile/masenar"
		"frame rate" 0
		"start frame" 0
	"lifetime" 3
	"velocity scale" -.3
	"random velocity" 2

outfit "Maisenkai-Senkorna Turret"
	category "Turrets"
	cost 5800000
	thumbnail "outfit/qoro m masenar turret"
	mass 80
	"outfit space" -80
	"weapon capacity" -80
	"turret mounts" -1
	"required crew" 4
	weapon
		sprite "projectile/proton fragment"
		sound "proton"
		"hit effect" "proton impact"
		"inaccuracy" .5
		"turret turn" 5
		"velocity" 30
		"lifetime" 40
		"reload" 20
		"burst reload" 1.6
		"burst count" 2
		"firing energy" 450
		"firing heat" 89
		"shield damage" 250
		"hull damage" 92
		"stream"
		"ion damage" 8
		"heat damage" 82
		
outfit "Maisenkai-Temaika Laser"
	category "Guns"
	cost 5473000
	thumbnail "outfit/qoro m masenar turret"
	"mass" 75
	"outfit space" -75
	"weapon capacity" -75
	"gun ports" -1
	weapon
		sprite "projectile/slicer"
			"frame rate" 2
		sound "slicer"
		"hit effect" "slicer impact"
		"inaccuracy" 2
		"velocity" 520
		"lifetime" 1
		"reload" 1
		"firing energy" 12
		"firing heat" 8
		"shield damage" 12
		"hull damage" 3
		"ion damage" .3
		"heat damage" 10
	description ""
		
# Shieldings
outfit "QSSS Cable"
	category "Systems"
	cost 300
	thumbnail "outfit/qoro m qsss cable"
	"mass" 0
	"outfit space" -0
	"shield generation multiplier" .5
	"disruption resistance" .2
	"piercing resistance" .2
	"shield heat" -2
	"QSSS Port R" -1
	"QSSS Port T" -1
	description "This is a cable that allows the ship and the generator to communicate, optimize, and multiply the shield generation efficiency and thoughness. While the shield generator and the ship it self will work with anything elses, they're meant to be paired for maximum effectiveness."
	#description "These special cable to be used with Makau a Qoro shield generator and their ships allowing the ship to communicate with the generator and reach maximum efficiency."

outfit "Oatua Shield Generator" #Makaso
	category "Systems"
	cost 50000000
	thumbnail "outfit/qoro m shield small"
	"mass" 81
	"outfit space" -81
	"shield generation" 21.1
	"shield energy" 25.4
	"shield heat" 16.6
	"QSSS Port T" 1
	description "Makau a Qoro huge shield"
	
outfit "Mekifa Shield Generator" #Matoas
	category "Systems"
	cost 5600000
	thumbnail "outfit/qoro m shield small"
	"mass" 49
	"outfit space" -49
	"shield generation" 7.4
	"shield energy" 12.7
	"shield heat" 8.8
	"QSSS Port T" 1
	description "Makau a Qoro large shield"
	
outfit "Hadinna Shield Generator" #Makean
	category "Systems"
	cost 2800000
	thumbnail "outfit/qoro m shield small"
	"mass" 28
	"outfit space" -28
	"shield generation" 3.9
	"shield energy" 6.1
	"shield heat" 7.5
	"QSSS Port T" 1
	description "Makau a Qoro medium shield"
	
outfit "Etoka Shield Generator" #masoak
	category "Systems"
	cost 350000
	thumbnail "outfit/qoro m shield small"
	"mass" 12
	"outfit space" -12
	"shield generation" 1.7
	"shield energy" 2.2
	"shield heat" 6.7
	"QSSS Port T" 1
	description "Makau a Qoro small shield"
	
outfit "Biqune Shield Generator" #Mahen
	category "Systems"
	cost 150000
	thumbnail "outfit/qoro m shield small"
	"mass" 4
	"outfit space" -4
	"shield generation" .6
	"shield energy" 2
	"shield heat" 6
	"QSSS Port T" 1
	description "Makau a Qoro tiny shield"
	
# Powers
outfit "Aseki Cell" #Maseki
	category "Power"
	cost 140000
	thumbnail "outfit/tiny fuel cell"
	"mass" 10
	"outfit space" -10
	"energy generation" 6
	"energy capacity" 2000
	description "Makau a Qoro generator"
	
outfit "Eirjika Cell" #Masoki
	category "Power"
	cost 320000
	thumbnail "outfit/small fuel cell"
	"mass" 15
	"outfit space" -15
	"energy generation" 8.2
	"energy capacity" 4000
	description "Makau a Qoro generator"
	
outfit "Fuguari Cell" #Masoki
	category "Power"
	cost 320000
	thumbnail "outfit/small fuel cell"
	"mass" 24
	"outfit space" -24
	"energy generation" 14.3
	"energy capacity" 4600
	description "Makau a Qoro generator"
	
outfit "Qutimaka Cell" #Masaski
	category "Power"
	cost 900000
	thumbnail "outfit/large fuel cell"
	"mass" 50
	"outfit space" -50
	"energy generation" 24.7
	"energy capacity" 10000
	description "Makau a Qoro generator"
	
outfit "Meteon Akon"
	category "Hand to Hand"
	cost 680000
	#thumbnail "outfit/qoro m warwagon"
	thumbnail "outfit/bardich"
	"mass" 1
	"outfit space" -1
	"capture attack" 6
	"capture defense" 7
	unplunderable 1
	description "This is a shielded cart that will generate a deadly liquifiying field in front of it that will make paste out of most living things in seconds. The scariest thing about this field is that it also penetrate most materials rendering most cover useless."
	description "If not limited by their short range and high power consumption, this will be unstoppable."
	
outfit "Masuit Ka"
	category "Hand to Hand"
	cost 48000
	thumbnail "outfit/qoro m gun"
	"capture attack" 1.4
	"capture defense" 2.2
	unplunderable 1
	description "While not the most lethal, these guns will send someone flying back a good several meters. Usually this is enough to kill most species from pure concussion pulverising their innards."
