# Combined Engines

	"steering flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"steering flare sound" "plasma tiny"
	description "Because their engine systems are distributed throughout the entire ship and not in one central location, Thi'Ruun engines are very powerful for how much engine space they use."

outfit "Artillery Compound Steering"
	category "Engines"
	"cost" 184000
	thumbnail "outfit/small thi compound steering"
	"mass" 28
	"outfit space" -25
	"engine capacity" -15
	"turn" 480.0
	"turning energy" 1.18
	"turning heat" 3.62
	"steering flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"steering flare sound" "plasma tiny"
	description "Because the actual propulsors in Thi'Ruun engines are so small, they can be partially installed outside the ship; this further cuts down on their impact on the rest of the ship, making them remarkably useful on ships where engine space is at a premium."

outfit "Emplacement Compound Steering"
	category "Engines"
	"cost" 409500
	thumbnail "outfit/medium thi compound steering"
	"mass" 65
	"outfit space" -57
	"engine capacity" -35
	"turn" 1128.4
	"turning energy" 2.76
	"turning heat" 8.46
	"steering flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"steering flare sound" "plasma tiny"
	description "This large steering system is designed for freighters or large transports, but thanks to the unique engineering at play, requires only fraction of the engine space a similarly large human engine might require."

outfit "Silo Compound Steering"
	category "Engines"
	"cost" 409500
	thumbnail "outfit/large thi compound steering"
	"mass" 100
	"outfit space" -92
	"engine capacity" -57
	"turn" 1831.4
	"turning energy" 4.7
	"turning heat" 14.0
	"steering flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"steering flare sound" "plasma tiny"
	description "This large steering system is designed for freighters or large transports, but thanks to the unique engineering at play, requires only fraction of the engine space a similarly large human engine might require."

outfit "Intercontinental Compound Steering"
	category "Engines"
	"cost" 830500
	thumbnail "outfit/huge thi compound steering"
	"mass" 161
	"outfit space" -156
	"engine capacity" -98
	"turn" 3132.6
	"turning energy" 8.2
	"turning heat" 24.1
	"steering flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"steering flare sound" "plasma tiny"
	description "This large steering system is designed for freighters or large transports, but thanks to the unique engineering at play, requires only fraction of the engine space a similarly large human engine might require."
