# ----------
#   GALAXY  
# ----------

galaxy "label omnis"
		distance 444
		offset 90
	object "Sheragi Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Sheragi"
		sprite planet/ringworld
		distance 812
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Sheragi"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Black Diamond"
		sprite "ship/blackdiamond"
		distance 1400
		offset 280
#
	object "Emerald Sword"
		sprite "ship/emeraldsword"
		distance 1700
		offset 240
#

system "Human"
	pos -50 -10100
	government "cheat"
	link "Sheragi"
	link "Hai"
	link "Ka'het"
	link "Korath"

	object "human gateway"
		sprite "sprite/wisp_green"
			
	object "Human Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Human Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Human"
		sprite planet/ringworld
		distance 812
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Human"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Flivver"
		sprite "ship/flivver"
		distance 1400
		offset -10
	object "Shuttle"
		sprite "ship/shuttle"
		distance 1400
		offset -5
	object "Heavy Shuttle"
		sprite "ship/heavy shuttle"
		distance 1400
	object "Arrow"
		sprite "ship/arrow"
		distance 1400
		offset 5
	object "Scout"
		sprite "ship/scout"
		distance 1400
		offset 10

	object "Bounder"
		sprite "ship/bounder"
		distance 1700
		offset -7
	object "Blackbird"
		sprite "ship/blackbird"
		distance 1700
	object "Star Queen"
		sprite "ship/star queen"
		distance 1700
		offset 7

	object "AuxiliaryH"
		sprite "ship/auxiliaryh"
		distance 2100
	object "AuxiliaryC"
		sprite "ship/auxiliaryc"
		distance 2100
		offset -6
	object "AuxiliaryT"
		sprite "ship/auxiliaryt"
		distance 2100
		offset 6
#
	object "Star Barge"
		sprite "ship/star barge"
		distance 1450
		offset 37
	object "Clipper"
		sprite "ship/clipper"
		distance 1450
		offset 43

	object "Freighter"
		sprite "ship/freighter"
		distance 1700
		offset 32
	object "Argosy"
		sprite "ship/argosy"
		distance 1700
		offset 40
	object "Hauler"
		sprite "ship/hauler i"
		distance 1700
		offset 48
#
	object "Lampyrid-Class Transport"
		sprite "ship/lampyrid"
		distance 1600
		offset 70
	object "Hauler II"
		sprite "ship/hauler ii"
		distance 1600
		offset 80
	object "Hauler III"
		sprite "ship/hauler iii"
		distance 1600
		offset 90

	object "Bulk Freighter"
		sprite "ship/bulk freighter"
		distance 2100
		offset 72
	object "Behemoth"
		sprite "ship/behemoth"
		distance 2100
		offset 80
	object "Container Transport"
		sprite "ship/container transport"
		distance 2100
		offset 88
#
	object "Sparrow"
		sprite "ship/sparrow"
		distance 1500
		offset 111
	object "Wasp"
		sprite "ship/wasp"
		distance 1500
		offset 117
	object "Fury"
		sprite "ship/fury"
		distance 1500
		offset 123
	object "Berserker"
		sprite "ship/berserker"
		distance 1500
		offset 129

	object "Hawk"
		sprite "ship/hawk"
		distance 1700
		offset 114
	object "Modified Boxwing"
		sprite "ship/modified boxwing"
		distance 1700
		offset 120
	object "Marauder Fury"
		sprite "ship/mfury"
		distance 1700
		offset 126

	object "Marauder Arrow Shields"
		sprite "ship/marrows"
		distance 1950
		offset 116
	object "Marauder Arrow Engines"
		sprite "ship/marrowe"
		distance 1950
		offset 120
	object "Marauder Arrow Weapons"
		sprite "ship/marroww"
		distance 1950
		offset 124

	object "Marauder Bounder Shields"
		sprite "ship/mbounders"
		distance 2200
		offset 116
	object "Marauder Bounder Engines"
		sprite "ship/mboundere"
		distance 2200
		offset 120
	object "Marauder Bounder Weapons"
		sprite "ship/mbounderw"
		distance 2200
		offset 124
#
	object "Quicksilver "
		sprite "ship/quicksilver"
		distance 1550
		offset 154
	object "Headhunter"
		sprite "ship/headhunter"
		distance 1550
		offset 160
	object "Rainmaker"
		sprite "ship/rainmaker"
		distance 1550
		offset 166

	object "Marauder Quicksilver Shields"
		sprite "ship/mquicksilvers"
		distance 1750
		offset 155
	object "Marauder Quicksilver Engines"
		sprite "ship/mquicksilvere"
		distance 1750
		offset 160
	object "Marauder Quicksilver Weapons"
		sprite "ship/mquicksilverw"
		distance 1750
		offset 165

	object "Raven"
		sprite "ship/raven"
		distance 1950
		offset 157
	object "Gunboat"
		sprite "ship/gunboat"
		distance 1950
		offset 163

	object "Marauder Raven Shields"
		sprite "ship/mravens"
		distance 2200
		offset 154
	object "Marauder Raven Engines"
		sprite "ship/mravene"
		distance 2200
		offset 160
	object "Marauder Raven Weapons"
		sprite "ship/mravenw"
		distance 2200
		offset 166

	object "Modified Argosy"
		sprite "ship/modified argosy"
		distance 2450
		offset 160
#
	object "Manta"
		sprite "ship/manta"
		distance 1550
		offset 193
	object "Aerie"
		sprite "ship/aerie"
		distance 1550
		offset 200
	object "Corvette"
		sprite "ship/corvette"
		distance 1550
		offset 207

	object "Marauder Manta Shields"
		sprite "ship/mmantas"
		distance 1800
		offset 193
	object "Marauder Manta Engines"
		sprite "ship/mmantae"
		distance 1800
		offset 200
	object "Marauder Manta Weapons"
		sprite "ship/mmantaw"
		distance 1800
		offset 207

	object "Splinter"
		sprite "ship/splinter"
		distance 2100
		offset 194
	object "Nest"
		sprite "ship/nest"
		distance 2100
		offset 200
	object "Firebird"
		sprite "ship/firebird"
		distance 2100
		offset 206

	object "Frigate"
		sprite "ship/frigate"
		distance 2400
		offset 197
	object "Osprey"
		sprite "ship/osprey"
		distance 2400
		offset 203

	object "Marauder Splinter Shields"
		sprite "ship/msplinters"
		distance 2700
		offset 195
	object "Marauder Splinter Engines"
		sprite "ship/msplintere"
		distance 2700
		offset 200
	object "Marauder Splinter Weapons"
		sprite "ship/msplinterw"
		distance 2700
		offset 205

	object "Mule"
		sprite "ship/mule"
		distance 3100
		offset 197
	object "Roost"
		sprite "ship/roost"
		distance 3100
		offset 203

	object "Marauder Firebird Shields"
		sprite "ship/mfirebirds"
		distance 3450
		offset 196
	object "Marauder Firebird Engines"
		sprite "ship/mfirebirde"
		distance 3450
		offset 200
	object "Marauder Firebird Weapons"
		sprite "ship/mfirebirdw"
		distance 3450
		offset 204

	object "Skein"
		sprite "ship/skein"
		distance 3850
		offset 202
	object "Bastion"
		sprite "ship/bastion"
		distance 3850
		offset 198
#
	object "Vanguard"
		sprite "ship/vanguard"
		distance 1600
		offset 232
	object "Leviathan"
		sprite "ship/leviathan"
		distance 1600
		offset 240
	object "Protector"
		sprite "ship/protector"
		distance 1600
		offset 248

	object "Falcon"
		sprite "ship/falcon"
		distance 1950
		offset 240

	object "Marauder Falcon Shields"
		sprite "ship/mfalcons"
		distance 2350
		offset 235
	object "Marauder Falcon Engines"
		sprite "ship/mfalcone"
		distance 2350
		offset 240
	object "Marauder Falcon Weapons"
		sprite "ship/mfalconw"
		distance 2350
		offset 245

	object "Class C Freighter"
		sprite "ship/bulk freighter"
		distance 2800
		offset 240

	object "Marauder Leviathan Shields"
		sprite "ship/mleviathans"
		distance 3200
		offset 236
	object "Marauder Leviathan Engines"
		sprite "ship/mleviathane"
		distance 3200
		offset 240
	object "Marauder Leviathan Weapons"
		sprite "ship/mleviathanw"
		distance 3200
		offset 244

	object "Cruiser"
		sprite "ship/cruiser"
		distance 3600
		offset 235
	object "Dreadnought"
		sprite "ship/dreadnought"
		distance 3600
		offset 240
	object "Kestrel"
		sprite "ship/kestrel"
		distance 3600
		offset 245

	object "Kestrel (More Engines)"
		sprite "ship/kestrel"
		distance 4050
		offset 235
	object "Kestrel (More Shields)"
		sprite "ship/kestrel"
		distance 4050
		offset 240
	object "Kestrel (More Weapons)"
		sprite "ship/kestrel"
		distance 4050
		offset 245

	object "Bactrian"
		sprite "ship/bactrian"
		distance 4550
		offset 240

	object "Carrier"
		sprite "ship/carrier"
		distance 5050
		offset 240
#
	object "Boxwing"
		sprite "ship/boxwing"
		distance 1500
		offset 274
	object "Barb"
		sprite "ship/barb"
		distance 1500
		offset 278
	object "Barb (Proton)"
		sprite "ship/barbp"
		distance 1500
		offset 282
	object "Dagger"
		sprite "ship/dagger"
		distance 1500
		offset 286

	object "Dropship"
		sprite "ship/dropship"
		distance 1650
		offset 276
	object "Finch"
		sprite "ship/finch"
		distance 1650
		offset 280
	object "Lance"
		sprite "ship/lance"
		distance 1650
		offset 284
#
	object "Combat Drone"
		sprite "ship/combat drone"
		distance 1450
		offset 318
	object "Surveillance Drone"
		sprite "ship/surveillance drone"
		distance 1450
		offset 322
#

system "Hai"
	pos 0 -10100
	government "cheat"
	link "Sheragi"
	link "Human"
	link "Remnant"
	link "Korath"
	link "Wanderer"

	object "hai gateway"
		sprite "sprite/wisp_green"
			
	object "Hai Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Hai Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Hai"
		sprite planet/ringworld
		distance 812
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Hai"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Centipede"
		sprite "ship/hai centipede"
		distance 1450
#
	object "Aphid"
		sprite "ship/hai aphid"
		distance 1400
		offset 40
#
	object "Water Bug"
		sprite "ship/hai water bug"
		distance 1500
		offset 73
	object "Geocoris"
		sprite "ship/hai geocoris"
		distance 1500
		offset 87
#
	object "Grasshopper"
		sprite "ship/hai grasshopper"
		distance 1400
		offset 120
#
	object "Lightning Bug"
		sprite "ship/hai lightning bug"
		distance 1450
		offset 160
#
	object "Pond Strider"
		sprite "ship/hai pond strider"
		distance 1450
		offset 200
#
	object "Shield Beetle"
		sprite "ship/hai shield beetle"
		distance 1500
		offset 234
	object "Solifuge"
		sprite "ship/hai solifuge"
		distance 1500
		offset 246
#
	object "Violin Spider"
		sprite "ship/hai violin spider"
		distance 1350
		offset 280
#
	object "Flea"
		sprite "ship/hai flea"
		distance 1350
		offset 320
#


system "Remnant"
	pos 50 -10100
	government "cheat"
	link "Sheragi"
	link "Hai"
	link "Wanderer"
	link "Coalition"

	object "remnant gateway"
		sprite "sprite/wisp_green"
			
	object "Remnant Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Remnant Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Remnant"
		sprite planet/ringworld
		distance 812
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Remnant"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Puffin"
		sprite "ship/puffin"
		distance 1450
		offset -5
	object "Penguin"
		sprite "ship/penguin/penguin"
		distance 1450
		offset 5

	object "Heron"
		sprite "ship/heron"
		distance 1900
#
	object "Gull"
		sprite "ship/gull"
		distance 1500
		offset 40
#
	object "Pelican"
		sprite "ship/pelican"
		distance 1550
		offset 80
#
	object "Starling"
		sprite "ship/starling"
		distance 1500
		offset 160
#
	object "Ibis"
		sprite "ship/ibis"
		distance 1550
		offset 196
	object "Peregrine"
		sprite "ship/peregrine/peregrine"
			"frame rate" 3
			"rewind"
		distance 1550
		offset 204
#
	object "Albatross "
		sprite "ship/albatross"
		distance 1600
		offset 240
#
	object "Petrel"
		sprite "ship/petrel"
		distance 1400
		offset 280
#
	object "Tern"
		sprite "ship/tern"
		distance 1400
		offset 320
#

system "Ka'het"
	pos -75 -10150
	government "cheat"
	link "Human"
	link "Korath"

	object "ka'het gateway"
		sprite "sprite/wisp_green"
			
	object "Ka'het Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Ka'het Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Ka'het"
		sprite planet/ringworld
		distance 812
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Ka'het"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Maeri'het"
		sprite "ship/maeri'het"
		distance 1450
		offset 160
#
	object "Telis'het"
		sprite "ship/telis'het"
		distance 1500
		offset 200
#
	object "Vareti'het"
		sprite "ship/vareti'het"
		distance 1550
		offset 240
#
	object "Faes'mar"
		sprite "ship/faes'mar"
		distance 1450
		offset 316
	object "Selii'mar"
		sprite "ship/selii'mar"
		distance 1450
		offset 324
#

system "Korath"
	pos -25 -10150
	government "cheat"
	link "Human"
	link "Hai"
	link "Ka'het"
	link "Wanderer"
	link "Quarg"

	object "korath gateway"
		sprite "sprite/wisp_green"
			
	object "Korath Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Korath Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Korath"
		sprite planet/ringworld
		distance 812
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Korath"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Korath Dredger"
		sprite "ship/dredger"
		distance 1650
		offset 80
	object "Korath World-Ship A"
		sprite "ship/world-ship a"
		distance 2300
		offset 70
	object "Korath World-Ship B"
		sprite "ship/world-ship b"
		distance 2300
		offset 80
	object "Korath World-Ship C"
		sprite "ship/world-ship c"
		distance 2300
		offset 90
#
	object "Model 8"
		sprite "ship/model 8"
		distance 1450
		offset 120
#
	object "Model 16"
		sprite "ship/model 16"
		distance 1550
		offset 154
	object "Model 32"
		sprite "ship/model 32"
		distance 1550
		offset 160
	object "Met Par Tek 53"
		sprite "ship/met par tek 53"
		distance 1550
		offset 166
#
	object "Model 64"
		sprite "ship/model 64"
		distance 1650
		offset 196
	object "Model 128"
		sprite "ship/model 128"
		distance 1650
		offset 204

	object "Tek Far 109"
		sprite "ship/tek far 109"
		distance 2150
		offset 193
	object "Tek Far 71 - Lek"
		sprite "ship/tek far 71 lek"
		distance 2150
		offset 200
	object "Tek Far 78 - Osk"
		sprite "ship/tek far 78 osk"
		distance 2150
		offset 207
#
	object "Korath Raider"
		sprite "ship/raider"
		distance 1650
		offset 235
	object "Model 256"
		sprite "ship/model 256"
		distance 1650
		offset 245

	object "Model 512"
		sprite "ship/model 512"
		distance 2200
		offset 235
	object "Kar Ik Vot 349"
		sprite "ship/kar ik vot 349"
		distance 2200
		offset 245
#
	object "Korath Chaser"
		sprite "ship/chaser"
		distance 1450
		offset 277
	object "Far Osk 27"
		sprite "ship/far osk 27"
		distance 1450
		offset 283
#
	object "Far Lek 14"
		sprite "ship/far lek 14"
		distance 1450
		offset 320
#

system "Wanderer"
	pos 25 -10150
	government "cheat"
	link "Hai"
	link "Remnant"
	link "Korath"
	link "Coalition"
	link "Quarg"

	object "wanderer gateway"
		sprite "sprite/wisp_green"
			
	object "Wanderer Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Wanderer Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Wanderer"
		sprite planet/ringworld
		distance 812
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Wanderer"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Riptide"
