
effect "mgf explosion spark"
	description "Large reactor at the core of the Death Harmonica. It is extremely powerful for the size but also runs extremely hot. It also appears to increase heat generated from shielding and hull repair systems."

outfit "VIK3 Devil Shielding"
	category "Systems"
	cost 2300000
	thumbnail "outfit/mgf devil shield"
	"mass" 264
	"outfit space" -264
	"shield generation" 12.8
	"shield energy" 29.7
	"shield heat" 79.7
	"shield fuel" .01
	"burn resistance" 2
	"burn resistance heat" -.5
	"burn resistance fuel" -.01
	"heat protection" .1
	"cooling inefficiency" .1
	description "Shield generator found on the Death Harmonica. Far more powerful than anything in human space but also significantly larger."
	
outfit "VNZ5 Inferno Repair"
	category "Systems"
	cost 2300000
	thumbnail "outfit/mgf inferno repair"
	"mass" 131
	"outfit space" -131
	"hull repair rate" 6.3
	"hull energy" 14.5
	"hull heat" 56.5
	"hull fuel" -.01
	"heat protection" .05
	"hull protection" .1
	"cooling inefficiency" .1
	description "A strange hull repair system found on the Death Harmonica. It seems to be the source of glowing red wire that flow along the walls and hull of the ship. It provides additional benefits beside repairing hull."
	
outfit "Akataiyo Fusion Reactor"
	category "Power"
	cost 8000000
	thumbnail "outfit/mgf akataiyo fusion"
	"mass" 140
	"outfit space" -140
	"energy generation" 22.7
	"heat generation" 84
	"energy capacity" 15000
	"ion protection" .1
	"AT-type slot" 12
	description `A variant of the standard fusion reactor with greatly improved output from additional and improve energy capture methods as well as slot for additional energy harvesting modules for additonal power. It's also combined built-in battery improving the reliability and endurance of the power systems.`
	description `First came out of the lab into actual production to power the energy-hungry K3-K Particle turrets of the new Zuikaku-class.`
	
outfit "Ta-class Energy Module"
	category "Power"
	cost 240000
	thumbnail "outfit/mgf akataiyo fusion module"
	"mass" 1
	"energy generation" .5
	"cooling" .1
	"cooling inefficiency" .5
	"AT-type slot" -1
	description `Addon energy harvesting module for the Akataiyo Fusion Reactor for harvesting additional energy at cost of more heat management problems.`

outfit "Uo-class Energy Module"
	category "Power"
	cost 360000
	thumbnail "outfit/mgf akataiyo fusion module"
	"mass" 1
	"energy generation" .55
	"cooling" .1
	"cooling inefficiency" .25
	"AT-type slot" -1
	description `Addon energy harvesting module for the Akataiyo and Kiirotaiyo Fusion Reactor with heat management improvement over the Ta-class.`

outfit "Kiirotaiyo Fusion Reactor"
	category "Power"
	cost 18600000
	thumbnail "outfit/mgf akataiyo fusion"
	"mass" 250
	"outfit space" -250
	"energy generation" 42.5
	"heat generation" 142
	"energy capacity" 30000
	"ion protection" .2
	"AT-type slot" 24
	description `A larger version of the Akataiyo reactor with improved heat efficiency as well as more output.`

outfit "HS84 Helium Cooler"
	category "Systems"
	cost 980000
	thumbnail "outfit/liquid helium"
	"mass" 80
	"outfit space" -80
	"cooling" 174
	description `Advanced cooling system potentially based on alien technology.`

outfit "DCN224n Battery Pack"
	category "Power"
	cost 190000
	thumbnail "outfit/huge battery"
	"mass" 160
	"outfit space" -160
	"energy capacity" 112000
	"ion resistance" .007
	"scrambling resistance" .007
	"ion protection" .05
	"scrambling protection" .05
	"energy protection" .32
	description `A recently developed battery with both capacity and resistance to ion and scrambling with especially reinforced and protected wirings.`

outfit "GS20-Ak Fusion Engine"
	category "Engines"
	"cost" 480000
	thumbnail "outfit/tiny atomic thruster"
	"mass" 47
	"outfit space" -71
	"engine capacity" -35
	"energy generation" 5.4
	"heat generation" 16
	"thrust" 24.5
	"thrusting energy" 1.1
	"thrusting heat" 2.8
	"flare sprite" "effect/atomic flare/tiny"
		"frame rate" 18
	"flare sound" "atomic tiny"
	"turn" 188.6
	"turning energy" .6
	"turning heat" 2.3
	"steering flare sprite" "effect/atomic flare/small"
		"frame rate" 16
	"steering flare sound" "atomic small"
	description "Inspired by the Deep Atomics these fusion engines were developed in secret before making a debut miniturized and inegrated with the reactor to fit on the Reisen."

outfit "GS26-Ak-k Fusion Engine"
	category "Engines"
	"cost" 490000
	thumbnail "outfit/tiny atomic thruster"
	"mass" 47
	"outfit space" -71
	"engine capacity" -35
	"energy generation" 5.9
	"heat generation" 16
	"thrust" 24.7
	"thrusting energy" 1.0
	"thrusting heat" 2.4
	"flare sprite" "effect/atomic flare/tiny"
		"frame rate" 18
	"flare sound" "atomic tiny"
	"turn" 188.6
	"turning energy" .45
	"turning heat" 2.1
	"steering flare sprite" "effect/atomic flare/small"
		"frame rate" 16
	"steering flare sound" "atomic small"
	description "Improved version of the GS20-Ak fusion engine with better efficiency and greater power generation."

outfit "GS152-Ak Fusion Engine"
	category "Engines"
	"cost" 3490000
	thumbnail "outfit/huge atomic thruster"
	"mass" 610
	"outfit space" -930
	"engine capacity" -450
	"energy generation" 118.5
	"heat generation" 177
	"thrust" 931.14
	"thrusting energy" 13.0
	"thrusting heat" 26.8
	"flare sprite" "effect/atomic flare/huge"
		"frame rate" 12
	"flare sound" "atomic huge"
	"turn" 6752
	"turning energy" 5.85
	"turning heat" 25.5
	"steering flare sprite" "effect/atomic flare/huge"
		"frame rate" 12
	"steering flare sound" "atomic huge"
	description `Large scale version of the fusion engine developed for the Kaga class as primary engine and power source for the ship.`

outfit "CN-6 Supercapacitor"
	category "Power"
	cost 11000
	thumbnail "outfit/supercapacitor"
	"mass" 2
	"outfit space" -2
	"energy capacity" 800
	description ``

outfit "NGK R11 Rifle"
	category "Hand to Hand"
	cost 10000
	thumbnail "outfit/mgf ngk r11 rifle"
	"capture attack" .7
	"capture defense" .9
	"scope slot" 1
	"underbarrel slot" 1
	"overbarrel slot" 1
	"unplunderable" 1
	description "A unique rifle used by NGK security personnels to guard their facilities and ships. Light weight and notably more powerful than standard laser rifles by utilizing different technology. It also comes with (hidden) universal attachment points and collapsible stock allow it to adapt to various situations and make it a much more effective weapon."
	description `Attachment modules not included.`
	
outfit "NGK R11 Grip"
	category "Hand to Hand"
	cost 5000
	thumbnail "outfit/mgf ngk r11 grip"
	"capture attack" .1
	"underbarrel slot" -1
	"unplunderable" 1
	description "Lightweight adjustable grip for the R11 Rifle for improved control at short and medium range."
	
outfit "NGK R11 Bipod"
	category "Hand to Hand"
	cost 6000
	thumbnail "outfit/mgf ngk r11 bipod"
	"capture attack" -.1
	"capture defense" .3
	"underbarrel slot" -1
	"unplunderable" 1
	description "Retractable bipod for the R11 Rifle for more stable firing significantly improving accuracy and target acquisition. Ideal for marksman and machine gun role but less suitable for assault due to added weight."
	
outfit "NGK R11 QAS"
	category "Hand to Hand"
	cost 7000
	thumbnail "outfit/mgf ngk r11 qas"
	"capture attack" .1
	"capture defense" .1
	"scope slot" -1
	"unplunderable" 1
	description "QAS sight for the R11 Rifle allowing fast aiming over short to medium range perfect for close quarter combat like inside a ship."
	
outfit "MJK S1 Outfit Expansion"
	category "Systems"
	cost 129000
	thumbnail "outfit/outfit expansion"
	"mass" 4
	"cargo space" -40
	"outfit space" 37
	"unplunderable" 1
	description "More advanced and well planned cargo-to-outfit refitting offered by MJK Heavy Industries for higher price."

outfit "MJK S1 Cargo Expansion"
	category "Systems"
	cost 99000
	thumbnail "outfit/cargo expansion"
	"mass" 3
	"cargo space" 38
	"outfit space" -40
	"unplunderable" 1
	description "More advanced and well planned outfit-to-cargo refitting offered by MJK Heavy Industries for higher price."

outfit "MJK S1 Bunk Conversion"
	category "Systems"
	cost 109000
	thumbnail "outfit/bunk room"
	"mass" 7
	"bunks" 10
	"outfit space" -40
	"unplunderable" 1
	description "More advanced and well planned conversion of outfit area to bunk rooms offered by MJK Heavy Industries for higher price."
	
outfit "MJK S1 Bunk Dismantling"
	category "Systems"
	cost 79000
	thumbnail "outfit/bunk room"
	"mass" 3
	"bunks" -4
	"outfit space" 18
	"unplunderable" 1
	description "Efficient conversion of unused bunk rooms into outfit space offered by MJK Heavy Industries."
	
outfit "MJK S1 Bunk to Cargo"
	category "Systems"
	cost 65000
	thumbnail "outfit/bunk room"
	"mass" 2
	"bunks" -4
	"cargo space" 20
	"unplunderable" 1
	description "Efficient conversion of unused bunk rooms into cargo space offered by MJK Heavy Industries."

outfit "H-466e Repair Core"
	category "Systems"
	cost 3600000
	thumbnail "outfit/medium systems core"
	"mass" 61
	"outfit space" -61
	"energy capacity" 1000
	"hull repair rate" 0.5
	"hull energy" 0.5
	"hull heat" 0.8
	description `Latest development in ship repair by a cooperation between Syndicated Systems and MJK Heavy Industries resulting in this highly advanced in-flight in-combat repair microbots.`
	description `This is an early experimental model available only to a select few.`

outfit "H-688e Repair Core"
	category "Systems"
	cost 3600000
	thumbnail "outfit/large systems core"
	"mass" 83
	"outfit space" -83
	"energy capacity" 1800
	"hull repair rate" 0.7
	"hull energy" 0.75
	"hull heat" 0.75
	description `Latest development in ship repair by a cooperation between Syndicated Systems and MJK Heavy Industries resulting in this highly advanced in-flight in-combat repair microbots.`
	description `This is an early experimental model available only to a select few.`

outfit "H-077 Repair Core"
	category "Systems"
	cost 1500000
	thumbnail "outfit/small systems core"
	"mass" 34
	"outfit space" -34
	"energy capacity" 1200
	"hull repair rate" 0.37
	"hull energy" 0.37
	"hull heat" 0.4
	description `A small version of the recently developed repair core suitable for medium to small-sized vessels.`

outfit "H-154 Repair Core"
	category "Systems"
	cost 3600000
	thumbnail "outfit/medium systems core"
	"mass" 65
	"outfit space" -65
	"energy capacity" 2000
	"hull repair rate" 0.7
	"hull energy" 0.7
	"hull heat" 0.8
	description `Latest development in ship repair by a cooperation between Syndicated Systems and MJK Heavy Industries resulting in this highly advanced in-flight in-combat repair microbots.`
	description `Though these repairs are far outperformed by shield generators in overall capability to handle damage, their larger industrial model open the avenue for a far more sophisticated design and construction of ships and other outfits.`

outfit "H-308 Repair Core"
	category "Systems"
	cost 8600000
	thumbnail "outfit/medium systems core"
	"mass" 82
	"outfit space" -82
	"energy capacity" 4000
	"hull repair rate" 1.3
	"hull energy" 1.25
	"hull heat" 1.25
	description `Latest development in ship repair by a cooperation between Syndicated Systems and MJK Heavy Industries resulting in this highly advanced in-flight in-combat repair microbots.`
	description `Though these repairs are far outperformed by shield generators in overall capability to handle damage, their larger industrial model open the avenue for a far more sophisticated design and construction of ships and other outfits.`

outfit "S-1670 Regenerator"
	category "Systems"
	cost 4200000
	thumbnail "outfit/large regenerator"
	"mass" 133
	"outfit space" -133
	"shield generation" 9.5
	"shield energy" 9.5
	"energy consumption" 31.5
	"heat generation" 21
	description "A larger version of the advanced S-970 Regenerator."
	
outfit "S-2370y Regenerator"
	category "Systems"
	cost 12000000
	thumbnail "outfit/large regenerator"
	"mass" 250
	"outfit space" -250
	"shield generation" 19.3
	"shield energy" 19.3
	"energy consumption" 61
	"heat generation" 53
	description `A large shield regenerator developed for the Kaga class fleet carrier.`

outfit "E272-S5T Shield Generator"
	plural "D41-HY Shield Generator" #to conceal the outfit on ships when scanned.
	category "Systems"
	cost 120000
	thumbnail "outfit/medium shield"
	"mass" 30
	"outfit space" -30
	"shield generation" .5
	"shield energy" .61
	"shields" 300
	"force protection" .05
	"E272 programming slot" 1
	description "This is a specialized shield generator that improves the shield's ability to resist damage and impact force. It is also capable of being programmed to fine-tune the matrix to a specific ship."
	description `Aside from a single port for a programming memory module the external appearance of this generator is almost exactly the same as D41-HY model making it easy to be mistaken for the basic one.`

outfit "E272-SR-MDSRC41C Curie"
	plural "E-type Memory Modules"
	category "Systems"
	cost 82000
	thumbnail "outfit/mgf akataiyo fusion module"
	"shield generation" .1
	"shield energy" .05
	"shield protection" .05
	"force protection" .05
	"E272 programming slot" -1
	"SRC-41C Curie verification" -1
	description `A memory module with programming for tuning E272-series shield generator to the specifics of SRC-41C Curie model nuclear fuel carrier. This model improves shield generation efficiency as well as notably improve shield's ability to resist damage.`
	description `Due to difficulty and highly specific requirements this is rarely done. It was rumored the programming for this ship was the first field testing of the concept and it took a combined power of multiple supercomputers and quantum computers several months to complete.`
	description `Aside from fairly rugged look of the module most of the cost for it was the licensing.`

outfit "E-type Memory Module"
	category "Systems"
	cost 50
	thumbnail "outfit/mgf akataiyo fusion module"
	description `A rugged-looking memory module sometimes seen attached to a D41-HY Shield Generator. Though it doesn't seems to really do anything. Rolling it around in your hand you doubt it's even a real module and rather just a case.`

outfit "DCB28N Battery Pack"
	category "Power"
	cost 38000
	thumbnail "outfit/mgf dcb28n"
	"mass" 35
	"outfit space" -35
	"energy capacity" 10500
	"ion resistance" .015
	"ion protection" .1
	"energy protection" .75
	description "Though not the most energy-dense battery it's highly resistant and durable enough as a reliable backup power. Because of low demand for such specialization in general it's not sold individually but occasionally comes with a specialized ship."

outfit "DCB56N Battery Pack"
	category "Power"
	cost 88000
	thumbnail "outfit/mgf dcb56n"
	"mass" 70
	"outfit space" -70
	"energy capacity" 21500
	"ion resistance" .03
	"ion protection" .2
	"energy protection" 1.5
	description ""

outfit "X09E Fighter Assembler"
	category "Systems"
	cost 8200000
	thumbnail "outfit/unknown"
	"mass" 160
	"outfit space" -400
	"required crew" 4
	"fighter part capacity" 50
	"e1 fighter blueprint slot" 1
	"unplunderable" 1
	description `Large experimental ship-board fighter assembly machine for assembling a fighter daily from parts based on a blueprint installed on the machine which can be bought separately.`
	
outfit "E1 Lance Blueprint"
	category "Systems"
	cost 240000
	thumbnail "outfit/license"
	"e1 fighter blueprint slot" -1
	"unplunderable" 1
	description `Blueprint for standard Lance fighter made to E1 standard.`
	
outfit "AJ-5 Business-class Suite"
	category "Systems"
	cost 120000
	thumbnail "outfit/luxury accommodations"
	"mass" 5
	"outfit space" -5
	"required crew" 1
	"unplunderable" 1
	description "More spacious rooms with few more utilities and decoration made by Najrmalas Shipworks that offer more comfort and style for passengers who are willing to offer more."

outfit "CR-3 Rollercoaster"
	category "Systems"
	cost 1000000
	licenses
		"Amusement Equipment"
	thumbnail "outfit/luxury accommodations"
	"mass" 220
	"cargo space" -320
	"required crew" 4
	"unplunderable" 1
	"operating income" 800
	"energy consumption" 3
	description "Large entertainment equipment for captains who particularly like it or wants to offer a unique experience to their passengers or potentially attract more jobs when combined with luxury accommodations. It also allow you to make money while landed."
	
outfit "D-UQ-3 Rollercoaster" #High chance to get spaceport offers when landing on urban or rich planet and hai
	category "Systems"
	cost 8000000
	licenses
		"Amusement Equipment"
	thumbnail "outfit/luxury accommodations"
	"mass" 200
	"cargo space" -320
	"required crew" 4
	"unplunderable" 1
	"operating income" 1600
	"energy consumption" 4
	description "Rollercoaster uniquely designed by a famous designer, while it doesn't appear that much special to you it will attract a lot of wealthy customers everywhere you go opening up opportunity to make some money while on the planet."

outfit "Elion Compact Pool"
	category "Systems"
	cost 120000
	thumbnail "outfit/mgf pool tiny"
	"mass" 27
	"cargo space" -30
	"unplunderable" 1
	"operating cost" 10
	"energy consumption" .5
	description "Small simple indoor temperature-controlled pool built and sold by Elion Inc. It allow passengers to relax on long distance travel and potentially attract more customers."

outfit "Elion Medium Pool"
	category "Systems"
	cost 580000
	thumbnail "outfit/mgf pool small"
	"mass" 54
	"cargo space" -60
	"unplunderable" 1
	"operating cost" 20
	"energy consumption" 1
	description "Medium-sized indoor temperature-controlled pool built and sold by Elion Inc. It allow passengers to relax on long distance travel and potentially attract more customers."

outfit "Elion Large Pool"
	category "Systems"
	cost 1420000
	thumbnail "outfit/mgf pool medium"
	"mass" 100
	"cargo space" -120
	"unplunderable" 1
	"operating cost" 40
	"energy consumption" 3
	"required crew" 2
	description "Large indoor temperature-controlled pool greater variation in depth on each area as well as multiple zones built and sold by Elion Inc. It allow passengers to relax on long distance travel and potentially attract more customers."

outfit "Elion Huge Pool"
	category "Systems"
	cost 2890000
	thumbnail "outfit/mgf pool large"
	"mass" 200
	"cargo space" -280
	"unplunderable" 1
	"operating cost" 80
	"energy consumption" 9
	"heat capacity" 100
	"required crew" 4
	description "Huge indoor temperature-controlled pool with wide variety of features and depths zones for each liking as well as small slide for children built and sold by Elion Inc. It allow passengers to relax on long distance travel and potentially attract more customers."

outfit "Elion Large Exotic Pool"
	category "Systems"
	cost 32020000
	thumbnail "outfit/mgf pool large exotic"
	"mass" 110
	"cargo space" -160
	"unplunderable" 1
	"operating cost" 1200
	"energy consumption" 12
	"required crew" 12
	description "Large pool incorporating odd designs with swim-able areas going up the wall and even circle around or entire spherical pool area made possible with well placed and tuned advanced grav-engines, built and sold by Elion Inc. These types of pools are extremely rare and expensive to build that mostly only large theme parks or very rich family can afford it and have the income to maintain it."

outfit "IrdaSys Compact Cinema"
	category "Systems"
	cost 120000
	thumbnail "outfit/mgf cinema tiny"
	"mass" 12
	"cargo space" -50
	"unplunderable" 1
	"operating income" 200
	"energy consumption" .3
	description "A compact ship-based cinema manufactured by Irda Systems which you can install inside your ship. It comes with seats for a few dozen people, offering some entertainment for your passengers." 

outfit "IrdaSys Medium Cinema"
	category "Systems"
	cost 480000
	thumbnail "outfit/mgf cinema medium"
	"mass" 23
	"cargo space" -120
	"unplunderable" 1
	"operating income" 400
	"energy consumption" .6
	description "A medium-sized ship-based cinema manufactured by Irda Systems which you can install inside your ship. It comes with seats for about 50 people, offering some entertainment for your passengers."

outfit "IrdaSys Large Cinema"
	category "Systems"
	cost 1220000
	thumbnail "outfit/mgf cinema large"
	"mass" 45
	"cargo space" -296
	"unplunderable" 1
	"operating income" 1000
	"energy consumption" 1.1
	description "A large ship-based cinema manufactured by Irda Systems which you can install inside your ship. It comes with seats for a little over hundred people, offering some entertainment for your passengers."

outfit "IrdaSys Large XMAX Cinema"
	category "Systems"
	cost 4800000
	thumbnail "outfit/mgf cinema large"
	"mass" 60
	"cargo space" -296
	"unplunderable" 1
	"operating income" 1500
	"energy consumption" 2
	description "A large ship-based cinema with full 8D immersive experience systems manufactured by Irda Systems which you can install inside your ship. It comes with seats for a little over hundred people, offering some entertainment for your passengers as well as attract some planet-side customers from medium-class planets."

outfit "IrdaSys Large Casino"
	category "Systems"
	cost 16600000
	licenses
		"Casino Operator"
	thumbnail "outfit/mgf cinema tiny"
	"mass" 80
	"cargo space" -250
	"unplunderable" 1
	"operating income" 2500
	"energy consumption" .2
	description "Large casino for your guest to entertain themselves while travelling across the stars, built and sold by Irda Systems."

outfit "Dalmod Small Bar"
	category "Systems"
	cost 90000
	thumbnail "outfit/mgf bar tiny"
	"mass" 10
	"cargo space" -20
	"unplunderable" 1
	"operating income" 10
	"capture attack" 4.4
	"capture defense" 6.4
	description "Simple miniaturized bar made of steel for cost efficiency by Dalmod Interiors. Offering some drinks to your passengers and crew to lighten up the mood after work. Also increase morale when boarding slightly improving attack and defense."
	
outfit "Dalmod Basic Bar"
	category "Systems"
	cost 220000
	thumbnail "outfit/mgf bar small"
	"mass" 18
	"cargo space" -40
	"unplunderable" 1
	"operating income" 20
	"capture attack" 9.8
	"capture defense" 11.8
	description "Basic bar offering some drinks to your passengers and crew to lighten up the mood after work. Also increase morale when boarding slightly improving attack and defense."

outfit "Ankulah Surveyor"
	category "Systems"
	cost 285000
	thumbnail "outfit/surveillance pod"
	mass 7
	"outfit space" -7
	"asteroid scan power" 37
	"cargo scan power" 3
	"cargo scan efficiency" 2
	"outfit scan power" 10
	"outfit scan efficiency" 6
	"atmosphere scan" 10
	"energy consumption" .01
	"required crew" 1
	description `A compact unit of various sensors and scanner used by Ankulah crews to look for and analyze wreckages for potential salvages. `

outfit "Quil2 Wreck Towing System"
	category "Systems"
	thumbnail "outfit/surveillance pod"
	"tow system" 1
	"reinstallable" -1
	"cargo scan power" 2
	"cargo scan efficiency" 2
	description `Gears, systems, and controls for attaching and towing wreckages(or other ships) including scanners for quick assestment and anaysis of the wreck for potential weak points as well as some dangerous materials like unshielded radiation source and certain chemicals for some safety of the recovery crews. Developed and used by Ankulah station crews.`
	description `This system is rated for small ships.`

outfit "Quil3 Wreck Towing System"
	category "Systems"
	thumbnail "outfit/surveillance pod"
	"tow system" 1
	"reinstallable" -1
	"cargo scan power" 3
	"cargo scan efficiency" 2
	description `Gears, systems, and controls for attaching and towing wreckages(or other ships) including scanners for quick assestment and anaysis of the wreck for potential weak points as well as some dangerous materials like unshielded radiation source and certain chemicals for some safety of the recovery crews. Developed and used by Ankulah station crews.`
	description `This system is rated for medium-sized ships.`

outfit "Quil4 Wreck Towing System"
	category "Systems"
	thumbnail "outfit/surveillance pod"
	"tow system" 1
	"reinstallable" -1
	"cargo scan power" 4
	"cargo scan efficiency" 2
	description `Gears, systems, and controls for attaching and towing wreckages(or other ships) including scanners for quick assestment and anaysis of the wreck for potential weak points as well as some dangerous materials like unshielded radiation source and certain chemicals for some safety of the recovery crews. Developed and used by Ankulah station crews.`
	description `This system is rated for large ships.`

outfit "Quil5 Wreck Towing System"
	category "Systems"
	thumbnail "outfit/surveillance pod"
	"tow system" 1
	"reinstallable" -1
	"cargo scan power" 5
	"cargo scan efficiency" 3
	description `Gears, systems, and controls for attaching and towing wreckages(or other ships) including scanners for quick assestment and anaysis of the wreck for potential weak points as well as some dangerous materials like unshielded radiation source and certain chemicals for some safety of the recovery crews. Developed and used by Ankulah station crews.`
	description `This system is rated for the largest ship you could possibly find.`

outfit "FV-8 Trawler System"
	category "Systems"
	thumbnail "outfit/surveillance pod"
	"trawler system" 1
	"reinstallable" -1
	description `A trawling systems and other general commercial fishing systems like fishfinder sonars and weather monitor for certain ships capable of trawling in water. The net is especially designed to resist speed of skimming fishing maneuver sometime employed by captains of capable vessel.`
	description `Having these systems allow you to take special jobs as well as having the option to earn some money while landed on fishing planets (visit job board).`

outfit "F30V3 Stealth Coating"
	category "Specials"
	cost 50000
	thumbnail "outfit/interference plating"
	mass 5
	"heat dissipation" -.01
	"radar jamming" 10
	"optical jamming" 4
	description `Special ship coating developed by MarStel capable of absorbing radar and slightly reduce light signature allowing it to reduce radar and optical tracking ability. Though this will also reduce your ship ability to dissipate heat.`

outfit "H40V3 Anti-Missile Turret"
	category "Turrets"
	cost 250000
	thumbnail "outfit/heavy anti-missile"
	"mass" 30
	"outfit space" -30
	"weapon capacity" -30
	"turret mounts" -1
	weapon
		"hardpoint sprite" "hardpoint/heavy anti-missile"
		"hardpoint offset" 5.
		"hit effect" "large anti-missile"
		"anti-missile" 7
		"velocity" 200
		"lifetime" 1
		"reload" 2
		"firing energy" 11
		"firing heat" 6
	description `Originally reverse engineered and overclocked Lovelace heavy anti-missile turret. The H40V3 enables a far superior fire rate for better chance of shooting down missiles.`

outfit "Espion Value Detector"
	category "Systems"
	cost 285570
	thumbnail "outfit/asteroid scanner"
	licenses
		"Espion Employee"
	mass 3
	"outfit space" -3
	"asteroid scan power" 67
